zip,district,share
30165,AL-3,0.0097
35004,AL-3,1.0000
35005,AL-7,1.0000
35006,AL-4,0.0234
35006,AL-7,0.9766
35007,AL-6,1.0000
35010,AL-3,0.7730
35010,AL-6,0.2270
35013,AL-4,1.0000
35014,AL-3,1.0000
35016,AL-4,0.9545
35016,AL-5,0.0455
35019,AL-4,0.6318
35019,AL-5,0.3682
35020,AL-7,1.0000
35022,AL-6,0.0630
35022,AL-7,0.9370
35023,AL-7,1.0000
35031,AL-4,1.0000
35032,AL-3,1.0000
35033,AL-4,1.0000
35034,AL-6,0.8830
35034,AL-7,0.1170
35035,AL-6,1.0000
35036,AL-7,1.0000
35040,AL-6,1.0000
35042,AL-6,0.8293
35042,AL-7,0.1707
35043,AL-6,1.0000
35044,AL-3,0.9970
35044,AL-6,0.0030
35045,AL-6,1.0000
35046,AL-6,1.0000
35049,AL-4,1.0000
35051,AL-6,1.0000
35052,AL-3,1.0000
35053,AL-4,1.0000
35054,AL-3,1.0000
35055,AL-4,1.0000
35057,AL-4,1.0000
35058,AL-4,1.0000
35060,AL-7,1.0000
35061,AL-7,1.0000
35062,AL-4,0.3494
35062,AL-6,0.5098
35062,AL-7,0.1408
35063,AL-4,0.9682
35063,AL-6,0.0318
35064,AL-7,1.0000
35068,AL-6,0.0046
35068,AL-7,0.9954
35070,AL-4,1.0000
35071,AL-6,0.9936
35071,AL-7,0.0064
35072,AL-3,0.5338
35072,AL-6,0.4662
35073,AL-6,0.0659
35073,AL-7,0.9341
35074,AL-6,1.0000
35077,AL-4,1.0000
35078,AL-6,1.0000
35079,AL-4,0.9992
35079,AL-6,0.0008
35080,AL-6,0.9950
35080,AL-7,0.0050
35082,AL-3,1.0000
35083,AL-4,1.0000
35085,AL-6,1.0000
35087,AL-4,0.6150
35087,AL-5,0.3850
35089,AL-3,0.1816
35089,AL-6,0.8184
35091,AL-6,1.0000
35094,AL-3,0.1515
35094,AL-6,0.8485
35096,AL-3,1.0000
35097,AL-4,1.0000
